"reporting_date","total"
2025-09-30 00:00:00.000,136526
2025-08-29 00:00:00.000,135741
2025-07-31 00:00:00.000,135392
2025-06-30 00:00:00.000,135327
2025-05-28 00:00:00.000,135462
2025-04-30 00:00:00.000,134878
2025-03-27 00:00:00.000,135429
2025-02-28 00:00:00.000,135740
2025-01-31 00:00:00.000,134700
2024-12-31 00:00:00.000,134706
2024-11-29 00:00:00.000,134506
2024-10-31 00:00:00.000,134266
2024-09-30 00:00:00.000,133496
2024-08-30 00:00:00.000,132565
2024-07-31 00:00:00.000,132810
2024-06-28 00:00:00.000,132223
2024-05-31 00:00:00.000,132002
2024-04-30 00:00:00.000,131758
2024-03-28 00:00:00.000,133072
2024-02-29 00:00:00.000,131023
2024-01-31 00:00:00.000,130617
2023-12-29 00:00:00.000,131026
2023-11-30 00:00:00.000,130277
2023-10-31 00:00:00.000,129900
2023-09-29 00:00:00.000,129405
2023-08-31 00:00:00.000,129450
2023-07-31 00:00:00.000,128779
2023-06-27 00:00:00.000,129653
2023-05-31 00:00:00.000,127730
2023-04-28 00:00:00.000,127280
2023-03-31 00:00:00.000,127752
2023-02-28 00:00:00.000,127682
2023-01-31 00:00:00.000,127232
2022-12-30 00:00:00.000,127713
2022-11-30 00:00:00.000,127438
2022-10-31 00:00:00.000,127333
2022-09-30 00:00:00.000,127931
2022-08-31 00:00:00.000,127015
2022-07-29 00:00:00.000,126208
2022-06-30 00:00:00.000,126595
2022-05-31 00:00:00.000,126247
2022-04-28 00:00:00.000,126590
2022-03-31 00:00:00.000,126450
2022-02-25 00:00:00.000,126189
2022-01-31 00:00:00.000,125993
2021-12-31 00:00:00.000,126231
2021-11-30 00:00:00.000,126424
2021-10-29 00:00:00.000,126123
2021-09-30 00:00:00.000,125846
2021-08-31 00:00:00.000,124863
2021-07-30 00:00:00.000,124477
2021-06-30 00:00:00.000,124618
2021-05-31 00:00:00.000,124099
2021-04-30 00:00:00.000,124845
2021-03-31 00:00:00.000,124893
2021-02-26 00:00:00.000,123719
2021-01-29 00:00:00.000,121807
2020-12-30 00:00:00.000,122085
2020-11-30 00:00:00.000,121929
2020-10-27 00:00:00.000,121005
2020-09-30 00:00:00.000,120705
2020-08-31 00:00:00.000,119374
2020-07-30 00:00:00.000,119490
2020-06-30 00:00:00.000,118898
2020-05-29 00:00:00.000,118246
2020-04-30 00:00:00.000,119078
2020-03-31 00:00:00.000,119228
2020-02-28 00:00:00.000,118700
2020-01-31 00:00:00.000,117480
2019-12-31 00:00:00.000,116725
2019-11-29 00:00:00.000,116494
2019-10-31 00:00:00.000,116806
2019-09-30 00:00:00.000,115949
2019-08-30 00:00:00.000,114052
2019-07-31 00:00:00.000,113766
2019-06-28 00:00:00.000,113009
2019-05-31 00:00:00.000,114114
2019-04-30 00:00:00.000,112791
2019-03-29 00:00:00.000,111549
2019-02-28 00:00:00.000,110971
2019-01-31 00:00:00.000,109697
2018-12-31 00:00:00.000,110182
2018-11-30 00:00:00.000,110274
2018-10-31 00:00:00.000,110238
2018-09-28 00:00:00.000,109776
2018-08-31 00:00:00.000,109034
2018-07-31 00:00:00.000,108534
2018-06-29 00:00:00.000,107619
2018-05-31 00:00:00.000,108553
2018-04-30 00:00:00.000,108264
2018-03-29 00:00:00.000,107466
2018-02-28 00:00:00.000,106777
2018-01-31 00:00:00.000,105796
2017-12-30 00:00:00.000,106163
2017-11-30 00:00:00.000,106415
2017-10-31 00:00:00.000,106151
2017-09-29 00:00:00.000,104747
2017-08-31 00:00:00.000,104466
2017-07-31 00:00:00.000,103478
2017-06-30 00:00:00.000,105925
2017-05-31 00:00:00.000,104901
2017-04-28 00:00:00.000,103113
2017-03-31 00:00:00.000,501959
2017-02-28 00:00:00.000,499360
2017-01-31 00:00:00.000,496915
